"iso3","year","value"
"AGO",2000,51.9
"AGO",2008,42.7
"AGO",2018,51.3
"ALB",1996,27
"ALB",2002,31.7
"ALB",2005,30.6
"ALB",2008,30
"ALB",2012,29
"ALB",2014,34.6
"ALB",2015,32.8
"ALB",2016,33.7
"ALB",2017,33.1
"ALB",2018,30.1
"ALB",2019,30.1
"ALB",2020,29.4
"ARE",2013,32.5
"ARE",2018,26.4
"ARG",1980,40.8
"ARG",1986,42.8
"ARG",1987,45.3
"ARG",1991,46.8
"ARG",1992,45.5
"ARG",1993,44.8
"ARG",1994,45.9
"ARG",1995,48.9
"ARG",1996,49.5
"ARG",1997,49.1
"ARG",1998,50.7
"ARG",1999,49.8
"ARG",2000,51
"ARG",2001,53.3
"ARG",2002,53.8
"ARG",2003,51
"ARG",2004,48.5
"ARG",2005,47.8
"ARG",2006,46.4
"ARG",2007,46.3
"ARG",2008,45
"ARG",2009,43.8
"ARG",2010,43.7
"ARG",2011,42.7
"ARG",2012,41.4
"ARG",2013,41.1
"ARG",2014,41.8
"ARG",2016,42.3
"ARG",2017,41.4
"ARG",2018,41.7
"ARG",2019,43.3
"ARG",2020,42.7
"ARG",2021,42.4
"ARG",2022,40.7
"ARG",2023,42.4
"ARG",2024,42.4
"ARM",1996,44.4
"ARM",1999,36.2
"ARM",2001,35.4
"ARM",2002,34.8
"ARM",2003,33
"ARM",2004,37.5
"ARM",2005,36
"ARM",2006,29.7
"ARM",2007,31.2
"ARM",2008,29.2
"ARM",2009,28
"ARM",2010,30
"ARM",2011,29.4
"ARM",2012,29.6
"ARM",2013,30.6
"ARM",2014,31.5
"ARM",2015,32.4
"ARM",2016,32.5
"ARM",2017,33.6
"ARM",2018,34.4
"ARM",2019,30
"ARM",2020,25.1
"ARM",2021,27.9
"ARM",2022,27.9
"ARM",2023,27.2
"AUS",1981,31.3
"AUS",1985,32.5
"AUS",1989,33.2
"AUS",1995,32.6
"AUS",2001,33.5
"AUS",2003,33.5
"AUS",2004,33.1
"AUS",2008,35.4
"AUS",2010,34.7
"AUS",2014,34.4
"AUS",2016,33.7
"AUS",2018,34.3
"AUS",2020,33.8
"AUT",1994,30.8
"AUT",1995,29.9
"AUT",1996,29.3
"AUT",1997,29.1
"AUT",1998,31.3
"AUT",1999,29.7
"AUT",2000,29
"AUT",2003,29.5
"AUT",2004,29.8
"AUT",2005,28.7
"AUT",2006,29.6
"AUT",2007,30.6
"AUT",2008,30.4
"AUT",2009,31.5
"AUT",2010,30.3
"AUT",2011,30.8
"AUT",2012,30.5
"AUT",2013,30.8
"AUT",2014,30.5
"AUT",2015,30.5
"AUT",2016,30.8
"AUT",2017,29.7
"AUT",2018,30.8
"AUT",2019,30.2
"AUT",2020,29.8
"AUT",2021,30.7
"AUT",2022,30.9
"AUT",2023,31.2
"AZE",1995,34.6
"AZE",2001,36.5
"AZE",2002,25.3
"AZE",2003,26.8
"AZE",2004,26.6
"AZE",2005,26.6
"BDI",1992,33.3
"BDI",1998,42.1
"BDI",2006,33.4
"BDI",2013,38.6
"BDI",2020,37.5
"BEL",1985,25.2
"BEL",1988,25.7
"BEL",1992,24.9
"BEL",1995,28.4
"BEL",1997,26.8
"BEL",2000,33.1
"BEL",2003,28.1
"BEL",2004,30.5
"BEL",2005,29.3
"BEL",2006,28.1
"BEL",2007,29.2
"BEL",2008,28.4
"BEL",2009,28.6
"BEL",2010,28.4
"BEL",2011,28.1
"BEL",2012,27.5
"BEL",2013,27.7
"BEL",2014,28.1
"BEL",2015,27.7
"BEL",2016,27.6
"BEL",2017,27.4
"BEL",2018,27.2
"BEL",2019,27.2
"BEL",2020,26
"BEL",2021,26.6
"BEL",2022,26.4
"BEL",2023,26.8
"BEN",2003,38.6
"BEN",2011,43.4
"BEN",2015,47.6
"BEN",2018,37.9
"BEN",2021,34.4
