"iso3","year","value"
"ABW",1990,0
"ABW",1996,2.77
"ABW",1999,4.51
"ABW",2000,15.4428
"ABW",2001,17.1
"ABW",2002,18.8
"ABW",2003,20.8
"ABW",2004,23
"ABW",2005,25.4
"ABW",2006,28
"ABW",2007,30.9
"ABW",2008,52
"ABW",2009,58
"ABW",2010,62
"ABW",2011,69
"ABW",2012,74
"ABW",2013,78.9
"ABW",2014,83.78
"ABW",2015,88.6612
"ABW",2016,93.5425
"ABW",2017,97.17
"AFG",1990,0
"AFG",2001,0.00472257
"AFG",2002,0.0045614
"AFG",2003,0.0878913
"AFG",2004,0.105809
"AFG",2005,1.22415
"AFG",2006,2.10712
"AFG",2007,1.9
"AFG",2008,1.84
"AFG",2009,3.55
"AFG",2010,4
"AFG",2011,5
"AFG",2012,5.45455
"AFG",2013,5.9
"AFG",2014,7
"AFG",2015,8.26
"AFG",2016,11
"AFG",2017,13.5
"AFG",2018,16.8
"AFG",2019,17.6
"AFG",2020,17.0485
"AFG",2021,16.5143
"AFG",2022,17.1917
"AFG",2023,17.7089
"AGO",1990,0
"AGO",1996,0.000776
"AGO",1997,0.00567
"AGO",1998,0.0185
"AGO",1999,0.072
"AGO",2000,0.105046
"AGO",2001,0.136014
"AGO",2002,0.270377
"AGO",2003,0.370682
"AGO",2004,0.464815
"AGO",2005,1.14337
"AGO",2006,1.5
"AGO",2007,1.7
"AGO",2008,1.9
"AGO",2009,2.3
"AGO",2010,2.8
"AGO",2011,4.7
"AGO",2012,7.7
"AGO",2013,13
"AGO",2014,21.3623
"AGO",2015,22
"AGO",2016,23.2
"AGO",2017,26
"AGO",2018,29
"AGO",2019,32.1294
"AGO",2020,36.6347
"AGO",2021,39.3876
"AGO",2022,42.0719
"AGO",2023,44.7581
"ALB",1990,0
"ALB",1995,0.0112
"ALB",1996,0.0322
"ALB",1997,0.0486
"ALB",1998,0.065
"ALB",1999,0.0814
"ALB",2000,0.114097
"ALB",2001,0.325798
"ALB",2002,0.390081
"ALB",2003,0.9719
"ALB",2004,2.42039
"ALB",2005,6.04389
"ALB",2006,9.60999
"ALB",2007,15.0361
"ALB",2008,23.86
"ALB",2009,41.2
"ALB",2010,45
"ALB",2011,47
"ALB",2012,49.4
"ALB",2013,51.8
"ALB",2014,54.3
"ALB",2015,56.9
"ALB",2016,59.6
"ALB",2017,62.4
"ALB",2018,65.4
"ALB",2019,68.5504
"ALB",2020,72.2377
"ALB",2021,79.3237
"ALB",2022,82.6137
"ALB",2023,83.1356
"AND",1990,0
"AND",1996,1.53
"AND",1997,3.05
"AND",1998,6.89
"AND",1999,7.64
"AND",2000,10.5388
"AND",2002,11.2605
"AND",2003,13.5464
"AND",2004,26.838
"AND",2005,37.6058
"AND",2006,48.9368
"AND",2007,70.87
"AND",2008,70.04
"AND",2009,78.53
"AND",2010,81
"AND",2011,81
"AND",2012,82.7
"AND",2013,84.4
"AND",2014,86.1
"AND",2015,87.9
"AND",2016,89.7
"AND",2017,91.5675
"AND",2019,90.7187
"AND",2020,93.2056
"AND",2021,93.8975
"AND",2022,94.4855
"AND",2023,95.4456
"ARE",1990,0
"ARE",1995,0.103
"ARE",1996,0.375
"ARE",1997,3.3
"ARE",1998,6.91
"ARE",1999,14.9
"ARE",2000,23.6253
"ARE",2001,26.2718
"ARE",2002,28.3165
"ARE",2003,29.478
"ARE",2004,30.1313
"ARE",2005,40
"ARE",2006,52
"ARE",2007,61
"ARE",2008,63
"ARE",2009,64
"ARE",2010,68
"ARE",2011,78
"ARE",2012,85
"ARE",2013,88
"ARE",2014,90.4
"ARE",2015,90.5
"ARE",2016,90.6
"ARE",2017,94.8199
"ARE",2018,98.45
"ARE",2019,99.15
"ARE",2020,100
"ARE",2021,100
"ARE",2022,100
"ARE",2023,100
"ARE",2024,100
"ARG",1990,0
"ARG",1992,0.00299
"ARG",1993,0.0295
"ARG",1994,0.0437
"ARG",1995,0.0863
"ARG",1996,0.142
"ARG",1997,0.28
"ARG",1998,0.831
"ARG",1999,3.28
"ARG",2000,7.03868
"ARG",2001,9.78081
"ARG",2002,10.8821
"ARG",2003,11.9137
"ARG",2004,16.0367
"ARG",2005,17.7206
"ARG",2006,20.9272
"ARG",2007,25.9466
"ARG",2008,28.1126
"ARG",2009,34
"ARG",2010,45
"ARG",2011,51
"ARG",2012,55.8
"ARG",2013,59.9
"ARG",2014,64.7
"ARG",2015,68.0431
"ARG",2016,70.969
"ARG",2017,74.2949
"ARG",2018,77.7
"ARG",2019,79.947
"ARG",2020,85.5144
"ARG",2021,87.1507
"ARG",2022,88.3754
"ARG",2023,89.229
"ARG",2024,89.6672
"ARM",1990,0
"ARM",1994,0.00912
"ARM",1995,0.0527
"ARM",1996,0.0946
"ARM",1997,0.112
"ARM",1998,0.129
"ARM",1999,0.971
"ARM",2000,1.30047
"ARM",2001,1.63109
"ARM",2002,1.96041
"ARM",2003,4.57522
"ARM",2004,4.89901
"ARM",2005,5.25298
"ARM",2006,5.63179
"ARM",2007,6.02125
"ARM",2008,6.21
"ARM",2009,15.3
"ARM",2010,25
"ARM",2011,32
"ARM",2012,37.5
"ARM",2013,41.9
"ARM",2014,54.6228
"ARM",2015,59.1008
"ARM",2016,64.346
"ARM",2017,64.7449
"ARM",2018,68.2451
"ARM",2019,66.5439
"ARM",2020,76.5077
"ARM",2021,78.6123
"ARM",2022,77.0277
"ARM",2023,79.9966
"ASM",1990,0
"ATG",1990,0
"ATG",1995,2.2
"ATG",1996,2.86
"ATG",1997,3.48
"ATG",1998,4.07
"ATG",1999,5.3
"ATG",2000,6.48223
"ATG",2001,8.89929
"ATG",2002,12.5
"ATG",2003,17.2286
"ATG",2004,24.2665
"ATG",2005,27
"ATG",2006,30
"ATG",2007,34
"ATG",2008,38
"ATG",2009,42
"ATG",2010,47
"ATG",2011,52
"ATG",2012,58
"ATG",2013,63.4
"ATG",2014,67.78
"ATG",2015,70
"ATG",2016,70.9743
"ATG",2017,71.9621
"ATG",2018,72.9637
"ATG",2019,73.9792
"ATG",2020,75.0089
"ATG",2021,76.0528
"ATG",2022,77.1648
"ATG",2023,77.5756
"AUS",1990,0.585
"AUS",1991,1.1
"AUS",1992,1.77
"AUS",1993,1.97
"AUS",1994,2.23
"AUS",1995,2.76
"AUS",1996,3.28
"AUS",1997,16.4
"AUS",1998,30.8
"AUS",1999,40.8
"AUS",2000,46.7561
"AUS",2001,52.6893
"AUS",2005,63
"AUS",2006,66
"AUS",2007,69.45
"AUS",2008,71.67
"AUS",2009,74.25
"AUS",2010,76
"AUS",2011,79.4877
"AUS",2012,79
"AUS",2013,83.4535
"AUS",2014,84
"AUS",2015,84.5605
"AUS",2016,86.54
"AUS",2017,86.545
"AUS",2018,90
"AUS",2019,93.6099
"AUS",2020,94.6935
"AUS",2021,96.9722
"AUS",2022,97.0424
"AUS",2023,97.0631
"AUT",1990,0.13
"AUT",1991,0.259
"AUT",1992,0.643
"AUT",1993,0.765
"AUT",1994,1.39
"AUT",1995,1.89
"AUT",1996,6.91
"AUT",1997,9.53
"AUT",1998,15.4
"AUT",1999,23
"AUT",2000,33.7301
"AUT",2001,39.1855
"AUT",2002,36.56
"AUT",2003,42.7
"AUT",2004,54.28
"AUT",2005,58
"AUT",2006,63.6
"AUT",2007,69.37
"AUT",2008,72.87
"AUT",2009,73.45
"AUT",2010,75.17
"AUT",2011,78.74
"AUT",2012,80.03
"AUT",2013,80.6188
"AUT",2014,80.9958
"AUT",2015,83.9401
"AUT",2016,84.3237
"AUT",2017,87.9356
"AUT",2018,87.4791
"AUT",2019,87.7522
"AUT",2020,87.5294
"AUT",2021,92.5292
"AUT",2022,93.6141
"AUT",2023,95.3347
"AUT",2024,94.9197
"AZE",1990,0
"AZE",1994,0.00143
"AZE",1995,0.00206
"AZE",1996,0.00635
"AZE",1997,0.0252
"AZE",1998,0.0375
"AZE",1999,0.0992
"AZE",2000,0.147758
"AZE",2001,0.305565
"AZE",2002,4.99971
"AZE",2005,8.03038
"AZE",2006,11.9922
"AZE",2007,14.54
"AZE",2008,17.08
"AZE",2009,27.4
"AZE",2010,46
"AZE",2011,50
"AZE",2012,54.2
"AZE",2013,73
"AZE",2014,75
"AZE",2015,77
"AZE",2016,78.2
"AZE",2017,79
"AZE",2018,79.8
"AZE",2019,81.1
"AZE",2020,84.6
"AZE",2021,86
"AZE",2022,88
"AZE",2023,89
"BDI",1990,0
"BDI",1991,0
"BDI",1992,0
"BDI",1993,0
"BDI",1994,0
"BDI",1995,0
"BDI",1996,0.000804
"BDI",1997,0.00798
"BDI",1998,0.0158
"BDI",1999,0.0392
"BDI",2000,0.0772484
"BDI",2001,0.106001
"BDI",2002,0.118228
"BDI",2003,0.201273
"BDI",2004,0.34906
"BDI",2005,0.542143
"BDI",2006,0.657593
"BDI",2007,0.7
"BDI",2008,0.81
"BDI",2009,0.9
"BDI",2010,1
"BDI",2011,1.11
"BDI",2012,1.22
"BDI",2013,1.26422
"BDI",2014,1.04239
"BDI",2015,2
"BDI",2016,2.2
"BDI",2017,2.66075
"BDI",2018,4
"BDI",2019,6.1
"BDI",2020,9.17302
"BDI",2021,10.9847
"BDI",2022,11.0009
"BDI",2023,11.0784
"BEL",1990,0.00101
"BEL",1991,0.0201
"BEL",1992,0.1
"BEL",1993,0.199
"BEL",1994,0.696
"BEL",1995,0.992
"BEL",1996,2.97
"BEL",1997,4.94
"BEL",1998,7.89
"BEL",1999,13.8
"BEL",2000,29.4317
"BEL",2001,31.2884
"BEL",2002,46.33
"BEL",2003,49.97
"BEL",2004,53.86
"BEL",2005,55.82
"BEL",2006,61.9819
"BEL",2007,66.7604
"BEL",2008,68.8573
"BEL",2009,74.5441
"BEL",2010,77.6398
"BEL",2011,81.61
"BEL",2012,80.72
"BEL",2013,82.1702
"BEL",2014,85.0012
"BEL",2015,85.0529
"BEL",2016,86.5165
"BEL",2017,87.6797
"BEL",2018,88.6473
"BEL",2019,90.2754
"BEL",2020,91.5264
"BEL",2021,92.7887
"BEL",2022,94.0078
"BEL",2023,94.6263
"BEL",2024,95.7758
"BEN",1990,0
"BEN",1996,0.00169
"BEN",1997,0.0246
"BEN",1998,0.0479
"BEN",1999,0.155
"BEN",2000,0.225248
"BEN",2001,0.363418
"BEN",2002,0.702946
"BEN",2003,0.951327
"BEN",2004,1.18254
"BEN",2005,1.27103
"BEN",2006,1.53785
"BEN",2007,1.79
"BEN",2008,1.85
"BEN",2009,2.24
"BEN",2010,3.13
"BEN",2011,4.14832
"BEN",2012,4.5
"BEN",2013,4.9
"BEN",2014,6
"BEN",2015,11.255
"BEN",2016,14.5
"BEN",2017,18.7
"BEN",2018,19
"BEN",2019,20.5
"BEN",2020,22.1206
"BEN",2021,28.2047
"BEN",2022,30.0134
"BEN",2023,32.2083
"BFA",1990,0
"BFA",1996,0.000961
"BFA",1997,0.0187
"BFA",1998,0.0454
"BFA",1999,0.0618
"BFA",2000,0.0770802
"BFA",2001,0.157732
"BFA",2002,0.200993
"BFA",2003,0.37344
"BFA",2004,0.400295
"BFA",2005,0.469914
"BFA",2006,0.632708
"BFA",2007,0.75
"BFA",2008,0.92
"BFA",2009,1.13
"BFA",2010,2.4
"BFA",2011,3
"BFA",2012,3.72503
"BFA",2013,5
"BFA",2014,6
"BFA",2015,6.55
"BFA",2016,7.14
"BFA",2017,7.79
"BFA",2018,8.5
"BFA",2019,9.27181
"BFA",2020,10.7927
"BFA",2021,12.5631
"BFA",2022,14.6238
"BFA",2023,17.0226
"BGD",1990,0
"BGD",1997,0.000751
"BGD",1998,0.00368
"BGD",1999,0.0362
"BGD",2000,0.0710394
"BGD",2001,0.129808
"BGD",2002,0.13992
"BGD",2003,0.163878
"BGD",2004,0.199036
"BGD",2005,0.241637
"BGD",2006,1
"BGD",2007,1.8
"BGD",2008,2.5
"BGD",2009,3.1
"BGD",2010,3.7
"BGD",2011,4.5
"BGD",2012,5
"BGD",2013,6.63
"BGD",2014,11.9
"BGD",2015,12.9
"BGD",2016,18.1
"BGD",2017,21.5
"BGD",2018,25.6
"BGD",2019,30.4
"BGD",2020,36.1091
"BGD",2021,38.9174
"BGD",2022,41.6165
"BGD",2023,44.5027
"BGR",1990,0
"BGR",1993,0.00234
"BGR",1994,0.0195
"BGR",1995,0.12
"BGR",1996,0.725
"BGR",1997,1.22
"BGR",1998,1.84
"BGR",1999,2.91
"BGR",2000,5.37092
"BGR",2001,7.6123
"BGR",2002,9.08
"BGR",2003,12.04
"BGR",2004,18.13
"BGR",2005,19.97
"BGR",2006,27.09
"BGR",2007,33.64
"BGR",2008,39.67
"BGR",2009,45
"BGR",2010,46.23
"BGR",2011,47.98
"BGR",2012,51.9
"BGR",2013,53.0615
"BGR",2014,55.4904
"BGR",2015,56.6563
"BGR",2016,59.8255
"BGR",2017,63.4101
"BGR",2018,64.782
"BGR",2019,67.947
