"iso3","year","value"
"ABW",2009,1082577
"ABW",2010,703388
"ABW",2011,1269221
"ABW",2012,3656987
"ABW",2013,1702027
"ABW",2014,2236432
"ABW",2015,1265878
"ABW",2016,1255851
"ABW",2017,2004844
"ABW",2018,2562890
"ABW",2019,1655574
"ABW",2020,1788242
"ABW",2021,1171746
"ABW",2022,1735162
"ABW",2023,1665839
"AFG",2018,0
"AFG",2019,0
"AGO",2015,102003479
"AGO",2016,101168422
"AGO",2017,90114520
"AGO",2018,62390526
"AGO",2019,79264147
"AGO",2020,46120730
"AGO",2021,43596708
"AGO",2022,77204455
"AGO",2023,89918197
"AGO",2024,64121494
"ALB",2009,10128936
"ALB",2010,14074208
"ALB",2011,11890517
"ALB",2012,10014580
"ALB",2013,10843586
"ALB",2014,1960836
"ALB",2015,16607486
"ALB",2016,10199913
"ALB",2017,1118611
"ALB",2018,591718
"ALB",2019,1753201
"ALB",2020,3810240
"ALB",2021,6384226
"ALB",2022,886411
"ALB",2023,16899736
"ALB",2024,33080643
"AND",2007,33447890
"AND",2008,17938621
"AND",2009,10402351
"AND",2010,19545650
"AND",2011,18990190
"AND",2012,19714197
"AND",2013,21595662
"AND",2014,18015813
"AND",2015,18000092
"AND",2016,21707609
"AND",2017,24238350
"AND",2018,33883932
"AND",2019,37391323
"AND",2020,36290169
"AND",2021,36063879
"AND",2022,49533520
"AND",2023,51383658
"ARE",2008,211099091
"ARE",2012,493096229
"ARE",2013,401391775
"ARE",2014,1465986043
"ARE",2015,903670848
"ARE",2016,484214896
"ARE",2017,523668921
"ARE",2018,643634927
"ARE",2019,670459816
"ARE",2020,1202292537
"ARE",2021,2904973069
"ARE",2022,3214235330
"ARE",2023,3183641981
"ARG",2007,1202089048
"ARG",2008,2014827039
"ARG",2009,1607442803
"ARG",2010,1686224603
"ARG",2011,1926430908
"ARG",2012,1654528881
"ARG",2013,1791037027
"ARG",2014,1509996216
"ARG",2015,1475181467
"ARG",2016,1333427025
"ARG",2017,1487363816
"ARG",2018,647172446
"ARG",2019,561915855
"ARG",2020,546445789
"ARG",2021,466425814
"ARG",2022,663679613
"ARG",2023,689722037
"ARG",2024,409324952
"ARM",2007,5195605
"ARM",2008,7247588
"ARM",2009,5130103
"ARM",2010,4727643
"ARM",2011,7448895
"ARM",2012,7581096
"ARM",2013,9332592
"ARM",2014,9307631
"ARM",2015,11860132
"ARM",2016,21845447
"ARM",2017,28282166
"ARM",2018,36529310
"ARM",2019,45573711
"ARM",2020,26514439
"ARM",2021,37562644
"ARM",2022,497178920
"ARM",2023,840724814
"ARM",2024,892555441
"ATG",2013,0
"ATG",2014,0
"ATG",2015,0
"ATG",2016,162
"ATG",2017,3183
"ATG",2018,11437
"ATG",2019,0
"ATG",2020,0
"ATG",2021,0
"ATG",2022,0
"ATG",2023,0
"ATG",2024,0
"AUS",2007,3859052880
"AUS",2008,4470937082
"AUS",2009,3841837829
"AUS",2010,4556153586
"AUS",2011,5601419629
"AUS",2012,5468098058
"AUS",2013,5342736393
"AUS",2014,5459155781
"AUS",2015,5091394845
"AUS",2016,5379738452
"AUS",2017,4902492267
"AUS",2018,5241784852
"AUS",2019,6336480016
"AUS",2020,5590752219
"AUS",2021,6310404299
"AUS",2022,7827261971
"AUS",2023,7767880136
"AUS",2024,8190032382
"AUT",2007,16729535708
"AUT",2008,17673554679
"AUT",2009,14165206601
"AUT",2010,15801989058
"AUT",2011,17846798301
"AUT",2012,18475532604
"AUT",2013,20793050424
"AUT",2014,21648234621
"AUT",2015,18084614342
"AUT",2016,17333979956
"AUT",2017,17025647706
"AUT",2018,16680037036
"AUT",2019,15967500783
"AUT",2020,15995936181
"AUT",2021,17019360151
"AUT",2022,23542335794
"AUT",2023,27308757068
"AUT",2024,30090214103
"AZE",2007,16910471
"AZE",2008,7426765
"AZE",2009,4537422
"AZE",2010,7200494
"AZE",2011,10332315
"AZE",2012,45373920
"AZE",2013,73389339
"AZE",2014,33923114
"AZE",2015,13928754
"AZE",2016,11727294
"AZE",2017,14069403
"AZE",2018,21177987
"AZE",2019,27996627
"AZE",2020,33914977
"AZE",2021,22212874
"AZE",2022,49582911
"AZE",2023,56810637
"AZE",2024,37073081
"BDI",2013,52352
"BDI",2014,392605
"BDI",2015,762345
"BDI",2016,600998
"BDI",2017,224837
"BDI",2018,1919722
"BDI",2019,44806
"BDI",2020,22492
"BDI",2021,52895
"BDI",2022,279944
"BDI",2023,430943
"BEL",2007,28348121217
"BEL",2008,31672630338
"BEL",2009,32169554713
"BEL",2010,18062114104
"BEL",2011,19710705572
"BEL",2012,18578043351
"BEL",2013,23020452724
"BEL",2014,26767838222
"BEL",2015,22552909326
"BEL",2016,27175805685
"BEL",2017,25235406983
"BEL",2018,28165595899
"BEL",2019,33085086466
"BEL",2020,34318944448
"BEL",2021,60841701079
"BEL",2022,68608511632
"BEL",2023,50647716012
"BEL",2024,51334304858
"BEN",2013,569796
"BEN",2014,3987990
"BEN",2015,1171209
"BEN",2016,577999
"BEN",2017,3522293
"BEN",2018,1403781
"BEN",2019,700714
"BEN",2020,1410633
"BEN",2021,1211677
"BEN",2022,1478628
"BEN",2023,1700350
"BEN",2024,22455589
"BFA",2009,18492513
"BFA",2010,11301002
"BFA",2011,8259133
"BFA",2012,10978416
"BFA",2013,14208169
"BFA",2014,13835438
"BFA",2015,5765833
"BFA",2016,6875574
"BFA",2017,5350847
"BFA",2018,6498091
"BFA",2019,34843264
"BFA",2020,4097239
"BFA",2021,3595403
"BFA",2022,2782855
"BFA",2023,8323768
"BFA",2024,2468004
"BGD",2008,62063721
"BGD",2009,44173505
"BGD",2010,37560962
"BGD",2011,44006131
"BGD",2012,105405034
"BGD",2013,68647591
"BGD",2015,93607706
"BGD",2016,80224851
"BGD",2017,161066666
"BGD",2018,204146450
"BGR",2007,648369137
"BGR",2008,803738388
"BGR",2009,754771930
"BGR",2010,852976590
"BGR",2011,1062699686
"BGR",2012,1021476044
"BGR",2013,1175494257
"BGR",2014,1156706424
"BGR",2015,1188402574
"BGR",2016,1368015151
"BGR",2017,1682865600
"BGR",2018,2012291354
"BGR",2019,2099870351
"BGR",2020,2155498073
"BGR",2021,2629729427
"BGR",2022,2722362666
"BGR",2023,3178034114
"BGR",2024,3345754344
"BHR",2009,310482
"BHR",2010,964226
"BHR",2011,1619723
"BHR",2012,7237726
"BHR",2013,18922393
"BHR",2014,47086511
"BHR",2015,22835701
"BHR",2016,21521243
"BHR",2017,14797112
"BHR",2018,11790580
"BHR",2019,171040707
"BHR",2020,334578591
"BHR",2021,18783670
"BHR",2022,18993642
"BHR",2023,11523340
"BHS",2009,76
"BHS",2010,3454
"BHS",2011,0
"BHS",2012,0
"BHS",2013,0
"BHS",2014,0
"BHS",2015,0
"BHS",2016,5691434
"BHS",2017,23398744
"BHS",2018,6223847
"BHS",2019,4273785
"BHS",2020,5698918
"BHS",2021,354749
"BHS",2022,0
"BHS",2023,7099
"BHS",2024,0
"BIH",2008,139640670
"BIH",2009,83124313
"BIH",2010,74424232
"BIH",2011,106561255
"BIH",2012,80755223
"BIH",2013,82099573
"BIH",2014,93751572
"BIH",2015,98638473
"BIH",2016,96206577
"BIH",2017,236663996
"BIH",2018,261343236
"BIH",2019,253429110
"BIH",2020,212050903
"BIH",2021,323354391
"BIH",2022,346093120
"BIH",2023,335043704
"BIH",2024,406642998
"BLR",2008,417729396
"BLR",2009,319783299
"BLR",2010,408291304
"BLR",2011,515422700
"BLR",2012,636491396
"BLR",2013,796837310
"BLR",2014,694196900
"BLR",2015,578013704
"BLR",2016,626372393
"BLR",2017,721137103
"BLR",2018,757854091
"BLR",2019,800555399
"BLR",2020,857164498
"BLR",2021,922201805
"BLZ",2010,0
"BLZ",2011,409
"BLZ",2012,0
"BLZ",2013,0
"BLZ",2014,0
"BLZ",2015,0
"BLZ",2016,0
"BLZ",2017,10
"BLZ",2018,6270
"BLZ",2019,0
"BLZ",2020,64217
"BLZ",2021,14461
"BLZ",2022,17
"BLZ",2023,0
"BLZ",2024,13
"BMU",2012,830077
"BMU",2013,2667623
"BMU",2014,2564052
"BMU",2015,1028795
"BMU",2016,1280911
"BMU",2017,1136950
"BMU",2018,2939782
"BMU",2019,1569639
"BMU",2020,869524
"BMU",2021,1878816
"BMU",2022,1251163
"BMU",2023,1784202
"BMU",2024,5858517
"BOL",2007,15432769
"BOL",2008,17442189
"BOL",2009,14823026
"BOL",2010,37069953
"BOL",2011,48204674
"BOL",2012,52913603
"BOL",2013,44104414
"BOL",2014,33146951
"BOL",2015,24935819
"BOL",2016,15511283
"BOL",2017,19397571
"BOL",2018,19560045
"BOL",2019,14175220
"BOL",2020,13485139
"BOL",2021,22371253
"BOL",2022,35257941
"BOL",2023,27251877
"BOL",2024,51178345
"BRA",2007,9550426879
"BRA",2008,10797889271
"BRA",2009,8461145153
"BRA",2010,8821852402
"BRA",2011,9144676228
"BRA",2012,9470914631
"BRA",2013,9066336666
"BRA",2014,8794690902
"BRA",2015,9433128684
"BRA",2016,10375539028
"BRA",2017,10715201949
"BRA",2018,11063190965
"BRA",2019,9392109980
"BRA",2020,5944951723
"BRA",2021,6350128610
"BRA",2022,7707210423
"BRA",2023,8060841826
"BRA",2024,8694667841
"BRB",2019,29763464
"BRB",2020,25313814
"BRB",2021,19196509
"BRB",2022,18830529
"BRB",2023,16529186
"BRB",2024,18924402
"BRN",2009,45458745
"BRN",2010,108137888
"BRN",2011,112054867
"BRN",2012,70721764
"BRN",2013,56850707
"BRN",2014,61147373
"BRN",2015,79880356
"BRN",2016,75587694
"BRN",2017,159194395
"BRN",2018,115050
"BRN",2019,47341781
"BRN",2020,15965130
"BRN",2021,30923034
"BRN",2022,28422821
"BRN",2023,25220521
"BRN",2024,28950881
"BTN",2007,1941520
"BTN",2008,9525
"BTN",2009,439945
"BTN",2010,394616
"BTN",2011,272
"BTN",2012,58575
"BTN",2016,3592238
"BTN",2017,1273168
"BTN",2018,282972
"BTN",2019,135784
"BTN",2020,141312
"BTN",2022,35440
"BTN",2023,27754
"BWA",2013,26827409
"BWA",2014,19204185
"BWA",2015,37935089
"BWA",2016,29033590
"BWA",2017,53818634
"BWA",2018,39468568
"BWA",2019,18663246
"BWA",2020,16838415
"BWA",2021,23428722
"BWA",2022,38953785
"BWA",2023,25600565
"CAF",2010,632110
"CAF",2011,1394
"CAF",2012,134458
"CAF",2013,10012
"CAF",2015,4091308
"CAF",2016,6613251
"CAF",2017,35462286
"CAF",2018,8173212
"CAF",2019,88772322
"CAF",2020,106849
"CAF",2021,878109
"CAF",2022,16373796
"CAF",2023,221989
"CAF",2024,12191538
"CAN",2007,30533466009
"CAN",2008,30132655640
"CAN",2009,25646491962
"CAN",2010,26567981070
"CAN",2011,27501347864
"CAN",2012,33113402476
"CAN",2013,32182263706
"CAN",2014,28787810893
"CAN",2015,28242770992
"CAN",2016,26203266317
"CAN",2017,26938349605
"CAN",2018,30480481649
"CAN",2019,36788635481
"CAN",2020,30705829277
"CAN",2021,35218428012
"CAN",2022,36895712941
"CAN",2023,41530542798
"CAN",2024,36001612663
"CHE",2007,36177850584
"CHE",2008,43496431152
"CHE",2009,40398414991
"CHE",2010,43609994818
"CHE",2011,51150138128
"CHE",2012,51281753023
"CHE",2013,54348472738
"CHE",2014,57103943094
"CHE",2015,53797217928
"CHE",2016,55537838910
"CHE",2017,29834784801
"CHE",2018,30116125011
"CHE",2019,29874364250
"CHE",2020,29246591977
"CHE",2021,38186912946
"CHE",2022,81075544288
"CHE",2023,84443768583
"CHE",2024,89522512070
"CHL",2007,650978627
"CHL",2008,656558020
"CHL",2009,475672103
"CHL",2010,541804285
"CHL",2011,554621392
"CHL",2012,578366368
"CHL",2013,696431125
