"iso3","year","value"
"ABW",1990,21732.8583148108
"ABW",1991,23099.940085342
"ABW",1992,23889.0450178625
"ABW",1993,24575.6606596427
"ABW",1994,25791.0431790959
"ABW",1995,26254.7428037675
"ABW",1996,26004.4956276389
"ABW",1997,27240.8027892808
"ABW",1998,27412.7551930748
"ABW",1999,27765.6532576026
"ABW",2000,30245.7069739274
"ABW",2001,31920.2390732318
"ABW",2002,31888.5087369598
"ABW",2003,32507.0843148328
"ABW",2004,35059.2730975712
"ABW",2005,35098.7976691425
"ABW",2006,35937.594655647
"ABW",2007,37768.5660142352
"ABW",2008,38904.9992484644
"ABW",2009,34339.9391559529
"ABW",2010,33729.5119105028
"ABW",2011,35324.0720643325
"ABW",2012,34095.6471714416
"ABW",2013,35901.6459605583
"ABW",2014,35657.287197053
"ABW",2015,35972.8596619304
"ABW",2016,36117.5352619835
"ABW",2017,37524.9149203557
"ABW",2018,39287.0597126122
"ABW",2019,38543.9072936041
"ABW",2020,28854.5972997864
"ABW",2021,35104.7868035374
"ABW",2022,41758.8957566544
"ABW",2023,46574.3574197653
"ABW",2024,50649.3015232212
"AFG",2000,813.550255989624
"AFG",2001,747.688045492413
"AFG",2002,926.507941011646
"AFG",2003,966.962032055781
"AFG",2004,971.633503046666
"AFG",2005,1076.08735260871
"AFG",2006,1121.83447077749
"AFG",2007,1286.94984312675
"AFG",2008,1333.74726661897
"AFG",2009,1570.69814517949
"AFG",2010,1765.53802830615
"AFG",2011,1744.06062321558
"AFG",2012,1988.42930381554
"AFG",2013,2133.24127098647
"AFG",2014,2224.49074815215
"AFG",2015,2284.07584789349
"AFG",2016,2213.1814410479
"AFG",2017,2335.79586234454
"AFG",2018,2432.27670083336
"AFG",2019,2583.48533239877
"AFG",2020,2561.98176058622
"AFG",2021,2144.16657002819
"AFG",2022,2122.99581512663
"AFG",2023,2201.72290691677
"AGO",1990,3704.86317724923
"AGO",1991,3740.35083482761
"AGO",1992,3486.20686711865
"AGO",1993,2627.58810059137
"AGO",1994,2632.88819939076
"AGO",1995,2989.761380067
"AGO",1996,3341.9118881012
"AGO",1997,3525.08342955598
"AGO",1998,3609.09297822035
"AGO",1999,3618.77608190863
"AGO",2000,3689.53780847244
"AGO",2001,3801.63313374818
"AGO",2002,4241.2915015658
"AGO",2003,4322.19773214742
"AGO",2004,4770.68802563462
"AGO",2005,5415.61212018099
"AGO",2006,6017.8181625251
"AGO",2007,6727.96328856831
"AGO",2008,7315.60233056666
"AGO",2009,7227.56364237588
"AGO",2010,7411.65460883624
"AGO",2011,7537.59656403345
"AGO",2012,8246.36081151609
"AGO",2013,8504.09532072053
"AGO",2014,9017.69018162269
"AGO",2015,8067.48584683018
"AGO",2016,7766.83787525546
"AGO",2017,8006.83661497696
"AGO",2018,8278.36886170469
"AGO",2019,8572.87895610671
"AGO",2020,7827.42804325818
"AGO",2021,8862.28133314521
"AGO",2022,9588.24129511188
"AGO",2023,9753.60046763783
"AGO",2024,10118.6089945408
"ALB",1990,2655.67313273989
"ALB",1991,1988.64061135552
"ALB",1992,1899.25886914895
"ALB",1993,2143.17607432673
"ALB",1994,2385.27957998377
"ALB",1995,2776.82881449807
"ALB",1996,3054.03520620926
"ALB",1997,2760.06536374301
"ALB",1998,3085.7858936517
"ALB",1999,3549.2725597965
"ALB",2000,3977.77186916171
"ALB",2001,4450.51418504094
"ALB",2002,4840.33200843758
"ALB",2003,5169.18875806327
"ALB",2004,5594.79162347874
"ALB",2005,6014.31696992585
"ALB",2006,6752.90148641683
"ALB",2007,7584.68922249536
"ALB",2008,8469.24537549543
"ALB",2009,9030.60955535693
"ALB",2010,9754.84278665039
"ALB",2011,10273.4199783271
"ALB",2012,10608.8448172721
"ALB",2013,10882.026128835
"ALB",2014,11787.8549638025
"ALB",2015,12386.592266883
"ALB",2016,13055.8417473139
"ALB",2017,14110.683242211
"ALB",2018,15055.2807998752
"ALB",2019,16442.1259393239
"ALB",2020,16287.6097663649
"ALB",2021,18212.8702466686
"ALB",2022,22138.4182857345
"ALB",2023,24822.3543089995
"ALB",2024,26701.6749563776
"AND",1990,24908.8709437846
"AND",1991,24510.2460817667
"AND",1992,23816.8404713631
"AND",1993,22958.3257814685
"AND",1994,23509.4599838307
"AND",1995,24934.3827742245
"AND",1996,26541.5814456738
"AND",1997,29121.6037066069
"AND",1998,30072.7272723068
"AND",1999,31589.958242948
"AND",2000,33458.1181625074
"AND",2001,36895.4402454079
"AND",2002,38787.0522534918
"AND",2003,41147.8806955474
"AND",2004,42717.2377735456
"AND",2005,44577.8193343081
"AND",2006,46852.6583902384
"AND",2007,47501.4309292019
"AND",2008,44838.9949992176
"AND",2009,42522.9945639501
"AND",2010,43853.1712385354
"AND",2011,46436.1158596161
"AND",2012,45503.0444832658
"AND",2013,45609.2307224247
"AND",2014,48505.6017361608
"AND",2015,50733.2390011704
"AND",2016,53110.1426263211
"AND",2017,53084.8639640903
"AND",2018,55244.6554088177
"AND",2019,57475.0692842215
"AND",2020,52095.8414004627
"AND",2021,59332.2029100127
"AND",2022,68470.0759483848
"AND",2023,71730.668682165
"AND",2024,74939.4746038578
"ARE",1990,88455.0784304645
"ARE",1991,87250.1807691177
"ARE",1992,87509.0434921899
"ARE",1993,86330.1994246338
"ARE",1994,89958.9595580333
"ARE",1995,93702.3667511098
"ARE",1996,94619.5987985934
"ARE",1997,96008.8725990105
"ARE",1998,90229.3083926554
"ARE",1999,87657.9495166478
"ARE",2000,92899.3674985796
"ARE",2001,90370.2541183751
"ARE",2002,88466.5816176093
"ARE",2003,92635.9226901803
"ARE",2004,98661.4370562637
"ARE",2005,101301.412339163
"ARE",2006,106814.053640356
"ARE",2007,100813.188228929
"ARE",2008,94628.2666607538
"ARE",2009,84780.3209706517
"ARE",2010,85120.1974687752
"ARE",2011,89665.4018921986
"ARE",2012,89198.0119017025
"ARE",2013,87526.3254797061
"ARE",2014,87477.7341963514
"ARE",2015,73986.0636395945
"ARE",2016,69986.9835675887
"ARE",2017,70281.8889504211
"ARE",2018,77446.2269929923
"ARE",2019,79816.3010904406
"ARE",2020,66790.6822664754
"ARE",2021,68580.1485423483
"ARE",2022,75071.6586300351
"ARE",2023,77955.2951760879
"ARE",2024,79228.738801276
"ARG",1990,7158.30849157078
"ARG",1991,7960.97844018808
"ARG",1992,8667.85280386599
"ARG",1993,9472.445099428
"ARG",1994,10103.0297415979
"ARG",1995,9890.92470924836
"ARG",1996,10495.8392452531
"ARG",1997,11403.4807926041
"ARG",1998,11835.6769869109
"ARG",1999,11463.8533083263
"ARG",2000,11499.9828002518
"ARG",2001,11117.754923787
"ARG",2002,9953.46492880857
"ARG",2003,10933.3925491594
"ARG",2004,12117.6797423098
"ARG",2005,13464.8128470561
"ARG",2006,14843.5778659642
"ARG",2007,16455.1129801674
"ARG",2008,17276.7570886806
"ARG",2009,16182.0753477677
"ARG",2010,17847.6110373178
"ARG",2011,19104.9909405228
"ARG",2012,19430.4178068112
"ARG",2013,19928.989490167
"ARG",2014,19487.4181748868
"ARG",2015,19899.1499275245
"ARG",2016,20105.761359796
"ARG",2017,23385.0740904917
"ARG",2018,24410.3919063335
"ARG",2019,23516.8261980886
"ARG",2020,22393.3479575353
"ARG",2021,26300.274261175
"ARG",2022,29808.8073468007
"ARG",2023,30221.4976888753
"ARG",2024,30431.1931223693
"ARM",1990,2760.24950024614
"ARM",1991,2476.60309205127
"ARM",1992,1491.61267174295
"ARM",1993,1440.39367766113
"ARM",1994,1591.47883514103
"ARM",1995,1766.91014761234
"ARM",1996,1921.54998904796
"ARM",1997,2039.78832278035
"ARM",1998,2239.42758318044
"ARM",1999,2376.51916946578
"ARM",2000,2530.74394657194
"ARM",2001,2844.36266367009
"ARM",2002,3282.11706337369
"ARM",2003,3836.22556768673
"ARM",2004,4377.22759682551
"ARM",2005,5172.2189210295
"ARM",2006,6072.75924479855
"ARM",2007,7136.75405519953
"ARM",2008,7827.31666746494
"ARM",2009,6811.69247959581
"ARM",2010,7095.21267979009
"ARM",2011,7624.26772626905
"ARM",2012,8942.63537897164
"ARM",2013,9454.87852836557
"ARM",2014,9736.2349746279
"ARM",2015,9756.84084836026
"ARM",2016,10570.2720413936
"ARM",2017,12066.0043093819
"ARM",2018,12877.4937543553
"ARM",2019,14975.7539538157
"ARM",2020,14706.3173043422
"ARM",2021,15921.705281964
"ARM",2022,19161.3700514189
"ARM",2023,21534.030536117
"ARM",2024,22823.1795255693
"ATG",1990,12996.0453528789
"ATG",1991,13658.4986142765
"ATG",1992,13908.4512651294
"ATG",1993,14719.5095217977
"ATG",1994,15736.1681149521
"ATG",1995,15062.3522451447
"ATG",1996,16016.9331941163
"ATG",1997,16836.0619448521
"ATG",1998,17496.1487515533
"ATG",1999,18088.3822356782
"ATG",2000,19318.8965779721
"ATG",2001,18568.679914651
"ATG",2002,18812.7827770729
"ATG",2003,20127.345572169
"ATG",2004,21628.6836541675
"ATG",2005,23484.8001051691
"ATG",2006,26949.4085821346
"ATG",2007,29850.5675734636
"ATG",2008,29978.2095861092
"ATG",2009,26156.9151715965
"ATG",2010,24071.0297956482
"ATG",2011,23804.0790107696
"ATG",2012,23011.7386611366
"ATG",2013,21760.5232864254
"ATG",2014,21671.4737856616
"ATG",2015,20985.4388292177
"ATG",2016,21320.4375067809
"ATG",2017,21422.0021576627
"ATG",2018,24524.2137953887
"ATG",2019,26550.589844733
"ATG",2020,22370.0918693813
"ATG",2021,25745.4958067746
"ATG",2022,29933.8893698902
"ATG",2023,31601.7527146877
"ATG",2024,33386.1917127894
"AUS",1990,17385.4985419393
"AUS",1991,17839.0574706042
"AUS",1992,18258.7234358128
"AUS",1993,19220.342291254
"AUS",1994,20173.6335372371
"AUS",1995,21049.6150181971
"AUS",1996,22133.8442785709
"AUS",1997,23141.8588888881
"AUS",1998,24386.3255539195
"AUS",1999,25530.8859233341
"AUS",2000,26584.8191965725
"AUS",2001,27687.7587444103
"AUS",2002,29080.0439286946
"AUS",2003,30167.241365541
"AUS",2004,31814.504982852
"AUS",2005,33089.7023501837
"AUS",2006,34890.2248136693
"AUS",2007,36708.1660067256
"AUS",2008,37616.0112400482
"AUS",2009,40434.4890899118
"AUS",2010,39504.361082784
"AUS",2011,42152.816179831
"AUS",2012,43007.2697824131
"AUS",2013,46123.4750962848
"AUS",2014,47108.5906459966
"AUS",2015,46464.5867627929
"AUS",2016,47446.2103030951
"AUS",2017,48564.8286592372
"AUS",2018,50371.233830782
"AUS",2019,52885.8313816377
"AUS",2020,54184.1614486854
"AUS",2021,58327.4146842325
"AUS",2022,66103.1797066957
"AUS",2023,72272.7092136683
"AUS",2024,72111.1844628126
"AUT",1990,19395.859898704
"AUT",1991,20535.8247267043
"AUT",1992,21208.8392210406
"AUT",1993,21646.6833009529
"AUT",1994,22553.0074289088
"AUT",1995,23604.0281966141
"AUT",1996,24426.7640962842
"AUT",1997,25300.6439049694
"AUT",1998,26530.9354041171
"AUT",1999,27500.084954534
"AUT",2000,29220.9853040358
"AUT",2001,29553.2333509767
"AUT",2002,30952.1708232398
"AUT",2003,31958.8592412083
"AUT",2004,33518.5160023521
"AUT",2005,34776.6699535218
"AUT",2006,37388.0795380765
"AUT",2007,39192.372452379
"AUT",2008,41046.7900352112
"AUT",2009,40686.6736355681
"AUT",2010,41735.4574798744
"AUT",2011,44171.5618687028
"AUT",2012,46156.4832073037
"AUT",2013,47519.8522796571
"AUT",2014,48355.4977624407
"AUT",2015,49549.3162311441
"AUT",2016,52397.8635176674
"AUT",2017,53869.8321183556
"AUT",2018,56636.4953030542
"AUT",2019,60354.9279422121
"AUT",2020,58523.0337816246
"AUT",2021,62968.9422311892
"AUT",2022,72065.4974270106
"AUT",2023,73544.6567230487
"AUT",2024,73911.439663136
"AZE",1990,5342.57081575693
"AZE",1991,5412.09760190727
