"Frequency","R2"
0.01,0.931346476929532
0.02,0.6989956955207
0.03,0.133520776760221
0.04,0.0399751951138357
0.05,0.00515925885235583
0.06,0.0529847222445685
0.07,0.0246575525629622
0.08,0.0296284755033986
0.09,0.00872108751459349
0.1,0.0120144536464729
0.11,0.00695550895923638
0.12,0.0112517026476834
0.13,0.00936839702913359
0.14,0.00572507812934724
0.15,0.00764496740248345
0.16,0.00269525506397096
0.17,0.00456456668946528
0.18,0.00838955599347132
0.19,0.0045198868300584
0.2,0.00295172362630746
0.21,0.000258929924875545
0.22,0.00191805589552303
0.23,0.00581288820697672
0.24,0.00135056917024113
0.25,0.0136383241376633
0.26,0.00121941922936808
0.27,0.0122263404100359
0.28,0.000149898062138343
0.29,0.00184341451824751
0.3,0.00235957522257208
0.31,0.000387544815050185
0.32,0.00484956600608497
0.33,0.000196104662197917
0.34,0.000325425456203992
0.35,0.0100144772161756
0.36,0.00338351574932359
0.37,0.0153911703360389
0.38,0.00181089179839482
0.39,0.0100538320092815
0.4,0.000445490866250779
0.41,0.0074578144620318
0.42,0.00364886687755147
0.43,0.00166119390846588
0.44,0.00128069820371958
0.45,0.0256949808862441
0.46,0.017296081692817
0.47,0.00770190469862256
0.48,0.0161948147504397
0.49,0.00169042406702445
0.5,0.0153088134299588
0.51,0.00169042406702481
0.52,0.0161948147504395
0.53,0.00770190469862228
0.54,0.0172960816928167
0.55,0.0256949808862445
0.56,0.00128069820371971
0.57,0.00166119390846615
0.58,0.00364886687755148
0.59,0.0074578144620321
0.6,0.000445490866250714
0.61,0.0100538320092811
0.62,0.00181089179839484
0.63,0.0153911703360388
0.64,0.00338351574932378
0.65,0.0100144772161752
0.66,0.00032542545620396
0.67,0.000196104662197946
0.68,0.00484956600608515
0.69,0.000387544815050186
0.7,0.00235957522257206
0.71,0.00184341451824753
0.72,0.000149898062138368
0.73,0.0122263404100364
0.74,0.00121941922936816
0.75,0.0136383241376631
0.76,0.00135056917024129
0.77,0.00581288820697641
0.78,0.00191805589552316
0.79,0.000258929924875475
0.8,0.00295172362630734
0.81,0.00451988683005887
0.82,0.00838955599347163
0.83,0.00456456668946543
0.84,0.00269525506397076
0.85,0.00764496740248341
0.86,0.0057250781293469
0.87,0.00936839702913295
0.88,0.0112517026476832
0.89,0.00695550895923652
0.9,0.012014453646472
0.91,0.00872108751459365
0.92,0.0296284755033983
0.93,0.0246575525629624
0.94,0.0529847222445686
0.95,0.00515925885235564
0.96,0.0399751951138358
0.97,0.133520776760223
0.98,0.698995695520697
0.99,0.931346476929533
1,0.04471658229319
1.01,0.931346476929534
1.02,0.698995695520701
1.03,0.133520776760223
1.04,0.0399751951138357
1.05,0.00515925885235632
1.06,0.0529847222445686
1.07,0.0246575525629623
1.08,0.0296284755034004
1.09,0.00872108751459366
1.1,0.0120144536464731
1.11,0.00695550895923658
1.12,0.011251702647683
1.13,0.00936839702913352
1.14,0.0057250781293471
