"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.46","51.8","51.7","53.26","53.82","53.82","56.02","55.7","57.4","56.46","58.5","61.91","66.56","70.04","75.54","79.26","82.67","81.46","80.67","80.63","81.81","87.51","94.63","100.33","105.04","106.9","102","101.4","101.88","105.3","100.02","","",
"American Samoa","ASM","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","101.54","75.8","93.32","111.69","105.2","106.77","96.93","98.12","105.92","107.17","137.21","132.93","127.83","124.73","107.47","114.44","126.19","169.7","188.26","222.36","204.67","201.01","209.31","205.44","243.73","245.3","245.76","245.71","211.94","222.82","246.08","235.01","248.08","250.24","243.39","235.88","232.59","230.95","243","246.16","259.51","250.55","267.92","269.68","276.55","278.17","269.69","270.12","249.23","105.53","112.75","100.48","103.5","100.35","98.46","101.19","103","85.52","77.4","85.05","79.48","111.88","","",
"Australia","AUS","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","49.85","54.57","57.01","59.3","60.16","58.42","58.31","59.57","62.23","67.21","68.51","73.13","70.92","62.89","69.1","74.75","75.08","77.5","74.93","67.9","66.46","67.3","67.64","63.85","66.29","69.55","73.71","75.41","73.91","81.65","83.57","81.86","83.25","84.39","81.98","80.32","83.44","87.17","89.44","91.36","91.26","92.33","86.07","87.7","88.21","91.2","90.75","87.8","86.85","85.88","86.4","88.46","95.07","100.86","102.38","96.76","90.98","97.18","97.71","90.62","87.88","87.48","","",
"Austria","AUT","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","65.69","69.32","69.73","70.89","70.47","70.49","74.28","75.92","76.05","76.27","77.37","75.53","76.88","80.69","81.75","82.89","82.99","84.38","87.25","88.68","90.25","92.39","93.2","97.45","97.64","98.31","98.18","95.62","94.61","96.2","95.72","96.13","94.48","93.2","86.88","89.84","89.2","90.14","91.79","92.54","93.29","92.96","92.36","91.54","89.8","91.1","92.41","93.53","95.57","97.13","97.7","97.66","98.02","98.46","100.17","101.37","101.37","101.49","101.07","100.87","100.31","100.45","","",
"Azerbaijan","AZE","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.5","41.34","38.68","39.17","40.9","43.7","47.37","49.6","51.76","53.95","56.78","59.89","62.91","64.8","66.84","70.05","72.3","80.43","86.19","88.06","91.84","95.09","97.07","99.42","103.52","104.85","107.26","112.96","116.12","118.46","121.33","","",
"Burundi","BDI","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","32.5","33.82","33.88","35.79","39.09","40.63","43.53","45.51","50.73","51.45","52.9","57.13","59.49","60.22","62.29","63.28","63.32","66.06","68.24","65.78","57.67","58.69","61.38","62.58","60.16","68.69","69.7","74.45","74.77","65.34","73.21","70.72","70.86","66.99","56.61","53.2","49.3","51.88","62.26","56.72","52.21","50.61","50.28","46.12","59.09","70.77","67.5","64.69","70.1","71.04","78.4","91.13","74.94","92.59","98.11","109.31","127.57","131.14","133.48","117.71","130.35","132.11","","",
"Belgium","BEL","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3","98.36","98.26","94.91","94.01","89.72","90.93","91.2","87.5","87.24","92.89","92.72","91.3","94.45","97.11","102.11","100.79","102.49","105.79","102.49","105.56","105.47","102.29","","",
"Benin","BEN","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","17.9","18.83","20.92","22.41","23.09","24.44","25.82","26.15","27.63","27.94","28.01","29.43","30.13","32.62","35.29","36.5","36.38","38.19","39.42","42.15","43.2","46.06","51.02","54.36","57.84","50.16","48.9","46.57","44.54","45.57","50.31","51.69","52.37","56.03","53.48","56.22","56.82","60.13","59.26","68.86","69.18","72.66","72.93","78.61","81.28","80.17","82.51","75.36","71.51","83.68","89.37","92.49","97.53","97.43","100.26","102.32","104.82","106.79","117.99","112.97","130.7","140.91","","",
"Burkina Faso","BFA","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","9.17","9.41","9.98","10.62","11.5","12.17","12.35","12.08","13.62","14.38","14.64","13.27","10.15","9.98","10.92","11.21","11.56","12.12","12.91","12.91","13.33","15.11","16.66","16.74","18.69","19.76","20.73","21.41","22.37","29.93","44.97","46.25","47.46","49.3","51.38","52.9","55.65","57.93","60.64","63.65","67.68","69.84","81.08","82.78","86.88","89.1","91.74","95.49","98.18","101.07","103.47","101.06","104.3","101.32","101.28","97.39","99.46","101.23","113.56","92.97","95.11","96.49","","",
"Bangladesh","BGD","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","18.45","19.26","19.94","20.79","21.24","21.42","22.02","22.64","23.44","24.15","24.16","24.28","24.05","24.58","25.14","26.32","26.71","30.58","31.45","22.59","23.11","23.94","24.69","24.98","27.55","28.56","29.45","30.73","31.36","33.14","28.42","29.41","30.77","33.98","35.28","38.89","42.6","43.35","44.85","46.47","47.29","49.02","51.81","52.74","55.07","55.91","56.94","60.65","57.98","60.74","66.21","71.61","83.42","94.13","101.1","104.77","122.5","124.46","123.94","136.86","146.31","153.13","","",
