"iso3","year","value"
"AFG",1996,0.13
"AFG",1997,0
"AFG",1998,2.73
"AFG",1999,0.67
"AFG",2000,4
"AFG",2001,1
"AFG",2002,5.5
"AFG",2003,7.34
"AFG",2004,6.75
"AFG",2005,9.15
"AFG",2006,13.86
"AFG",2007,14.23
"AFG",2008,12.5
"AFG",2009,26.14
"AFG",2010,27.68
"AFG",2011,41.62
"AFG",2012,34.65
"AFG",2013,27.31
"AFG",2014,35.01
"AFG",2015,21.19
"AFG",2016,59.55
"AFG",2017,72.4
"AFG",2018,90.34
"AFG",2019,139.36
"AFG",2020,145.71
"AFG",2021,177.39
"AFG",2022,169.19
"AGO",1996,5.95
"AGO",1997,7.33
"AGO",1998,4.11
"AGO",1999,3.93
"AGO",2000,6.08
"AGO",2001,9.58
"AGO",2002,16.13
"AGO",2003,5.89
"AGO",2004,9.73
"AGO",2005,10.04
"AGO",2006,12.57
"AGO",2007,10.16
"AGO",2008,11.85
"AGO",2009,13.78
"AGO",2010,14.68
"AGO",2011,17.78
"AGO",2012,21.3
"AGO",2013,23.85
"AGO",2014,34.57
"AGO",2015,32.12
"AGO",2016,37.81
"AGO",2017,55.13
"AGO",2018,29.7
"AGO",2019,36.39
"AGO",2020,48.51
"AGO",2021,42.35
"AGO",2022,44.99
"ALB",1996,36.82
"ALB",1997,26.52
"ALB",1998,31.89
"ALB",1999,23.84
"ALB",2000,22.34
"ALB",2001,18.38
"ALB",2002,24.53
"ALB",2003,22.68
"ALB",2004,17.91
"ALB",2005,25.77
"ALB",2006,26.35
"ALB",2007,41.9
"ALB",2008,52.48
"ALB",2009,68.72
"ALB",2010,124.83
"ALB",2011,140.71
"ALB",2012,150.63
"ALB",2013,148.81
"ALB",2014,154.14
"ALB",2015,159.48
"ALB",2016,165.44
"ALB",2017,133.42
"ALB",2018,170.56
"ALB",2019,203.1
"ALB",2020,167.16
"ALB",2021,241.09
"ALB",2022,238.59
"AND",1996,2
"AND",1997,0.87
"AND",1998,2.08
"AND",1999,0
"AND",2000,0
"AND",2001,2.64
"AND",2002,0.5
"AND",2003,4.7
"AND",2004,1.31
"AND",2005,4.93
"AND",2006,5.02
"AND",2007,6.23
"AND",2008,1.68
"AND",2009,2.55
"AND",2010,1.2
"AND",2011,0.88
"AND",2012,4.53
"AND",2013,5.26
"AND",2014,4.18
"AND",2015,7.96
"AND",2016,7.83
"AND",2017,1.67
"AND",2018,3.19
"AND",2019,5.41
"AND",2020,8.14
"AND",2021,9.44
"AND",2022,9.6
"ARE",1996,294.31
"ARE",1997,282.44
"ARE",1998,320.66
"ARE",1999,247.78
"ARE",2000,324.89
"ARE",2001,376.47
"ARE",2002,393.49
"ARE",2003,546.62
"ARE",2004,563.1
"ARE",2005,718.77
"ARE",2006,835.69
"ARE",2007,788.38
"ARE",2008,906.71
"ARE",2009,1044.34
"ARE",2010,1264.69
