"iso3","year","value"
"AGO",2016,0.03229
"ALB",2007,0.08757
"ALB",2008,0.15412
"ARE",2011,0.47252
"ARE",2014,0.67523
"ARE",2015,0.8657
"ARE",2016,0.9318
"ARE",2018,1.26389
"ARE",2019,1.31065
"ARE",2020,1.48831
"ARE",2021,1.49469
"ARG",1996,0.41749
"ARG",1997,0.41959
"ARG",1998,0.41131
"ARG",1999,0.45337
"ARG",2000,0.43884
"ARG",2001,0.42461
"ARG",2002,0.38886
"ARG",2003,0.41013
"ARG",2004,0.40376
"ARG",2005,0.42074
"ARG",2006,0.45216
"ARG",2007,0.46007
"ARG",2008,0.47055
"ARG",2009,0.58398
"ARG",2010,0.56104
"ARG",2011,0.56597
"ARG",2012,0.63491
"ARG",2013,0.61849
"ARG",2014,0.59396
"ARG",2015,0.62262
"ARG",2016,0.55815
"ARG",2017,0.55631
"ARG",2018,0.4883
"ARG",2019,0.47813
"ARG",2020,0.54126
"ARG",2021,0.52216
"ARG",2022,0.54947
"ARM",1997,0.18692
"ARM",1998,0.22601
"ARM",1999,0.214
"ARM",2000,0.19106
"ARM",2001,0.27987
"ARM",2002,0.25255
"ARM",2003,0.32109
"ARM",2004,0.25659
"ARM",2005,0.25761
"ARM",2006,0.24057
"ARM",2007,0.21107
"ARM",2008,0.22438
"ARM",2009,0.29093
"ARM",2010,0.24139
"ARM",2011,0.27014
"ARM",2012,0.23853
"ARM",2013,0.22216
"ARM",2014,0.24151
"ARM",2015,0.25002
"ARM",2016,0.23305
"ARM",2017,0.22788
"ARM",2018,0.18876
"ARM",2019,0.17854
"ARM",2020,0.2092
"ARM",2021,0.20557
"ARM",2022,0.20955
"ARM",2023,0.18115
"ASM",2003,0.18787
"ASM",2004,0.32528
"ASM",2005,0.36692
"ASM",2006,0.39552
"AUS",1996,1.66218
"AUS",1998,1.51351
"AUS",2000,1.57198
"AUS",2002,1.74654
"AUS",2004,1.84802
"AUS",2006,2.17862
"AUS",2008,2.39898
"AUS",2010,2.37009
"AUS",2011,2.23445
"AUS",2013,2.17709
"AUS",2015,1.91902
"AUS",2017,1.87919
"AUS",2019,1.8257
"AUS",2021,1.85509
"AUT",1996,1.58077
"AUT",1997,1.65491
"AUT",1998,1.73155
"AUT",1999,1.84537
"AUT",2000,1.88602
"AUT",2001,1.9921
"AUT",2002,2.06598
"AUT",2003,2.17456
"AUT",2004,2.16612
"AUT",2005,2.37324
"AUT",2006,2.35923
"AUT",2007,2.41843
"AUT",2008,2.56945
"AUT",2009,2.59674
"AUT",2010,2.7261
"AUT",2011,2.66868
"AUT",2012,2.91472
"AUT",2013,2.95492
"AUT",2014,3.08429
"AUT",2015,3.04969
"AUT",2016,3.11655
"AUT",2017,3.05656
"AUT",2018,3.09182
"AUT",2019,3.13265
"AUT",2020,3.20278
"AUT",2021,3.26361
"AUT",2022,3.20048
"AZE",1996,0.23533
"AZE",1997,0.3695
"AZE",1998,0.42125
"AZE",1999,0.39289
"AZE",2000,0.336
"AZE",2001,0.34001
"AZE",2002,0.30155
"AZE",2003,0.32496
"AZE",2004,0.29831
"AZE",2005,0.21994
"AZE",2006,0.17165
"AZE",2007,0.17006
"AZE",2008,0.16554
"AZE",2009,0.24976
"AZE",2010,0.21848
"AZE",2011,0.21084
"AZE",2012,0.21427
"AZE",2013,0.20969
"AZE",2014,0.20978
"AZE",2015,0.22232
"AZE",2016,0.20637
"AZE",2017,0.18468
"AZE",2018,0.18416
"AZE",2019,0.20013
"AZE",2020,0.2239
"AZE",2021,0.20836
"AZE",2022,0.1513
"AZE",2023,0.18178
"BDI",2007,0.20068
"BDI",2008,0.15417
"BDI",2009,0.14096
"BDI",2010,0.13719
"BDI",2012,0.10702
"BDI",2018,0.21312
"BEL",1996,1.74299
"BEL",1997,1.80971
"BEL",1998,1.83825
"BEL",1999,1.90565
"BEL",2000,1.9362
"BEL",2001,2.03279
"BEL",2002,1.90325
"BEL",2003,1.84119
"BEL",2004,1.8205
"BEL",2005,1.79061
"BEL",2006,1.82269
"BEL",2007,1.84999
"BEL",2008,1.93684
"BEL",2009,1.9986
"BEL",2010,2.06188
"BEL",2011,2.17332
"BEL",2012,2.28114
"BEL",2013,2.33073
"BEL",2014,2.37002
"BEL",2015,2.42817
"BEL",2016,2.52338
"BEL",2017,2.66666
"BEL",2018,2.86018
"BEL",2019,3.1566
"BEL",2020,3.39175
"BEL",2021,3.39239
"BEL",2022,3.40544
"BFA",1996,0.15834
"BFA",1997,0.18104
"BFA",2001,0.16816
"BFA",2002,0.30111
"BFA",2003,0.24112
"BFA",2004,0.21514
"BFA",2005,0.15166
"BFA",2007,0.09836
"BFA",2008,0.16568
"BFA",2009,0.17787
"BFA",2014,0.19719
"BFA",2017,0.61361
"BFA",2019,0.17435
"BFA",2020,0.25116
"BFA",2021,0.25126
"BGR",1996,0.41826
"BGR",1997,0.46548
"BGR",1998,0.48223
"BGR",1999,0.53688
"BGR",2000,0.49517
"BGR",2001,0.44709
"BGR",2002,0.46473
"BGR",2003,0.47222
"BGR",2004,0.47086
"BGR",2005,0.44269
"BGR",2006,0.44216
"BGR",2007,0.43003
"BGR",2008,0.44731
"BGR",2009,0.49338
"BGR",2010,0.56299
"BGR",2011,0.5295
"BGR",2012,0.60039
"BGR",2013,0.63424
"BGR",2014,0.79007
"BGR",2015,0.94947
"BGR",2016,0.77009
"BGR",2017,0.74037
"BGR",2018,0.75413
"BGR",2019,0.83274
"BGR",2020,0.84967
"BGR",2021,0.77278
"BGR",2022,0.75421
"BHR",2014,0.10116
"BIH",2003,0.01826
"BIH",2004,0.0159
"BIH",2005,0.02697
"BIH",2006,0.01969
"BIH",2007,0.02521
"BIH",2008,0.01842
"BIH",2009,0.02106
"BIH",2012,0.26533
"BIH",2013,0.32132
"BIH",2014,0.25725
"BIH",2015,0.21603
"BIH",2016,0.21337
"BIH",2017,0.1978
"BIH",2018,0.19199
"BIH",2019,0.19001
"BIH",2020,0.20325
"BIH",2021,0.19035
"BIH",2022,0.18743
"BIH",2023,0.19228
"BLR",1996,0.99852
"BLR",1997,0.73
"BLR",1998,0.70578
"BLR",1999,0.84523
"BLR",2000,0.7221
"BLR",2001,0.70876
"BLR",2002,0.6209
"BLR",2003,0.61147
"BLR",2004,0.62759
"BLR",2005,0.67852
"BLR",2006,0.66065
"BLR",2007,0.96203
"BLR",2008,0.74147
"BLR",2009,0.62167
"BLR",2010,0.66913
"BLR",2011,0.6776
"BLR",2012,0.64603
"BLR",2013,0.65191
"BLR",2014,0.50548
"BLR",2015,0.49999
"BLR",2016,0.50063
"BLR",2017,0.58411
"BLR",2018,0.60443
"BLR",2019,0.57733
"BLR",2020,0.53901
"BLR",2021,0.45981
"BLR",2022,0.47477
"BLR",2023,0.57843
"BMU",1997,0.05885
"BMU",2007,0.16026
"BMU",2008,0.16848
"BMU",2009,0.18235
"BMU",2010,0.1805
"BMU",2011,0.26195
"BMU",2012,0.23355
"BMU",2013,0.1963
"BMU",2014,0.19083
"BMU",2015,0.19507
"BMU",2018,0.22851
"BMU",2019,0.26451
"BMU",2020,0.22546
"BOL",1996,0.32544
"BOL",1997,0.31577
"BOL",1998,0.29495
"BOL",1999,0.29836
"BOL",2000,0.28744
"BOL",2001,0.29358
"BOL",2002,0.27663
"BOL",2009,0.157
"BRA",2000,1.04751
"BRA",2001,1.06198
"BRA",2002,1.00968
"BRA",2003,0.99939
"BRA",2004,0.96343
"BRA",2005,1.00246
"BRA",2006,0.98807
"BRA",2007,1.08138
"BRA",2008,1.12904
"BRA",2009,1.11866
"BRA",2010,1.15992
"BRA",2011,1.13966
"BRA",2012,1.12684
"BRA",2013,1.19567
"BRA",2014,1.26971
"BRA",2015,1.37093
"BRA",2016,1.28637
"BRA",2017,1.1175
"BRA",2018,1.16769
"BRA",2019,1.21096
"BRA",2020,1.14526
"BRN",2002,0.01592
"BRN",2003,0.01842
"BRN",2004,0.03701
"BRN",2018,0.27764
"BWA",2005,0.53286
"BWA",2012,0.26759
"BWA",2013,0.561
"CAN",1996,1.60682
"CAN",1997,1.61386
"CAN",1998,1.71051
"CAN",1999,1.74985
"CAN",2000,1.85848
"CAN",2001,2.02117
"CAN",2002,1.97171
"CAN",2003,1.96781
"CAN",2004,1.99734
"CAN",2005,1.97127
"CAN",2006,1.94304
"CAN",2007,1.90358
"CAN",2008,1.85578
